sequenceID	source.name	genotype	length
JA879129	ncbi-curated	ECSA	11601
JA879130	ncbi-curated	ECSA	11598
JA879131	ncbi-curated	ECSA	11601
JA879132	ncbi-curated	ECSA	11237
JB138046	ncbi-curated	ECSA	11840
JB138047	ncbi-curated	-	9523
JB138048	ncbi-curated	-	9538
JB138049	ncbi-curated	-	9523
JB138050	ncbi-curated	-	10480
JB138051	ncbi-curated	-	10466
JB138052	ncbi-curated	-	10465
JB138053	ncbi-curated	-	10480
JB138054	ncbi-curated	-	10465
JB138055	ncbi-curated	-	9538
JB138056	ncbi-curated	-	10480
JB160217	ncbi-curated	ECSA	11234
JB160218	ncbi-curated	ECSA	11234
JB160219	ncbi-curated	ECSA	11234
JB160220	ncbi-curated	ECSA	11234
JB160221	ncbi-curated	ECSA	11234
JB160222	ncbi-curated	ECSA	11234
JF274082	ncbi-curated	ECSA	11829
JN558834	ncbi-curated	ECSA	11733
JN558835	ncbi-curated	ECSA	11733
JN558836	ncbi-curated	ECSA	11733
JQ065885	ncbi-curated	ECSA	11624
JQ065886	ncbi-curated	ECSA	11624
JQ065887	ncbi-curated	ECSA	11624
JQ065888	ncbi-curated	ECSA	11629
JQ065889	ncbi-curated	ECSA	11628
JQ065890	ncbi-curated	ECSA	11684
JQ065891	ncbi-curated	ECSA	11687
JQ065892	ncbi-curated	ECSA	11153
JQ067624	ncbi-curated	ECSA	11724
JQ861253	ncbi-curated	ECSA	11745
JQ861254	ncbi-curated	ECSA	11750
JQ861255	ncbi-curated	ECSA	11736
JQ861256	ncbi-curated	ECSA	11754
JQ861257	ncbi-curated	ECSA	11755
JQ861258	ncbi-curated	ECSA	11733
JQ861259	ncbi-curated	ECSA	11113
JQ861260	ncbi-curated	ECSA	11743
JX088705	ncbi-curated	ECSA	11811
KC488650	ncbi-curated	Asian	11889
KC614648	ncbi-curated	ECSA	11778
KC862329	ncbi-curated	ECSA	11836
KF151174	ncbi-curated	ECSA	11792
KF151175	ncbi-curated	ECSA	11792
KF283986	ncbi-curated	ECSA	11537
KF283987	ncbi-curated	ECSA	11712
KF590564	ncbi-curated	ECSA	11695
KF590565	ncbi-curated	ECSA	11722
KF590566	ncbi-curated	ECSA	11730
KF872195	ncbi-curated	Asian	11969
KJ579184	ncbi-curated	ECSA	11717
KJ579185	ncbi-curated	ECSA	11717
KJ579186	ncbi-curated	ECSA	11717
KJ579187	ncbi-curated	ECSA	11717
KJ679577	ncbi-curated	ECSA	11567
KJ679578	ncbi-curated	ECSA	11567
KJ796844	ncbi-curated	ECSA	11764
KJ796845	ncbi-curated	ECSA	11764
KJ796846	ncbi-curated	ECSA	11764
KJ796847	ncbi-curated	ECSA	11784
KJ796848	ncbi-curated	ECSA	11789
KJ796849	ncbi-curated	ECSA	11779
KJ796850	ncbi-curated	ECSA	11778
KJ796851	ncbi-curated	ECSA	11776
KJ796852	ncbi-curated	ECSA	11777
KJ941050	ncbi-curated	ECSA	11659
KM673291	ncbi-curated	Asian	11979
KM923917	ncbi-curated	Asian	11837
KM923918	ncbi-curated	Asian	11837
KM923919	ncbi-curated	Asian	11837
KM923920	ncbi-curated	Asian	11837
KP003807	ncbi-curated	ECSA	11562
KP003808	ncbi-curated	ECSA	11562
KP003809	ncbi-curated	ECSA	11791
KP003810	ncbi-curated	ECSA	11562
KP003811	ncbi-curated	ECSA	11562
KP003812	ncbi-curated	ECSA	11561
KP003813	ncbi-curated	ECSA	11268
KP164567	ncbi-curated	Asian	11715
KP164568	ncbi-curated	ECSA	11812
KP164569	ncbi-curated	ECSA	11816
KP164570	ncbi-curated	ECSA	11678
KP164869	ncbi-curated	ECSA	11811
KP702297	ncbi-curated	ECSA	11171
KP851709	ncbi-curated	Asian	11989
KP851710	ncbi-curated	Asian	11991
KR264950	ncbi-curated	Asian	11449
KT192707	ncbi-curated	Asian	11889
KT308159	ncbi-curated	Asian	11631
KT308160	ncbi-curated	Asian	11631
KT308161	ncbi-curated	Asian	11754
KT308162	ncbi-curated	Asian	11522
KT308163	ncbi-curated	Asian	11562
KT324224	ncbi-curated	ECSA	11764
KT324225	ncbi-curated	ECSA	11751
KT324226	ncbi-curated	ECSA	11760
KT324227	ncbi-curated	ECSA	11818
KT324228	ncbi-curated	ECSA	11764
KT327164	ncbi-curated	Asian	11954
KT336777	ncbi-curated	ECSA	11237
KT336778	ncbi-curated	ECSA	11237
KT336779	ncbi-curated	ECSA	11237
KT336780	ncbi-curated	ECSA	11237
KT336781	ncbi-curated	ECSA	11237
KT336782	ncbi-curated	ECSA	11237
KT449801	ncbi-curated	ECSA	11796
KT581023	ncbi-curated	Asian	11391
KU355832	ncbi-curated	Asian	11670
KU365282	ncbi-curated	ECSA	7418
KU365283	ncbi-curated	ECSA	7418
KU365284	ncbi-curated	ECSA	7418
KU365285	ncbi-curated	ECSA	7418
KU365286	ncbi-curated	ECSA	7418
KU365287	ncbi-curated	ECSA	7418
KU365288	ncbi-curated	ECSA	7418
KU365289	ncbi-curated	ECSA	7418
KU365290	ncbi-curated	ECSA	7418
KU365291	ncbi-curated	ECSA	7418
KU365292	ncbi-curated	ECSA	7418
KU365366	ncbi-curated	Asian	11990
KU365368	ncbi-curated	Asian	11993
KU365369	ncbi-curated	Asian	11476
KU365370	ncbi-curated	ECSA	11848
KU365371	ncbi-curated	ECSA	11835
KU365373	ncbi-curated	Asian	11992
KU940225	ncbi-curated	ECSA	11804
KU940226	ncbi-curated	ECSA	11217
KX009167	ncbi-curated	ECSA	11765
KX009168	ncbi-curated	ECSA	11620
KX009169	ncbi-curated	ECSA	11652
KX009170	ncbi-curated	ECSA	11658
KX009171	ncbi-curated	ECSA	11616
KX097982	ncbi-curated	Asian	11979
KX097986	ncbi-curated	Asian	11694
KX097988	ncbi-curated	Asian	11916
KX168429	ncbi-curated	Asian	11900
KX228391	ncbi-curated	ECSA	11601
KX262986	ncbi-curated	WestAfr	11707
KX262987	ncbi-curated	Asian	11671
KX262988	ncbi-curated	Asian	11869
KX262989	ncbi-curated	ECSA	11757
KX262990	ncbi-curated	ECSA	11763
KX262991	ncbi-curated	Asian	11950
KX262992	ncbi-curated	Asian	11294
KX262993	ncbi-curated	ECSA	11621
KX262994	ncbi-curated	Asian	11702
KX262995	ncbi-curated	WestAfr	11715
KX262996	ncbi-curated	ECSA	11570
KX262997	ncbi-curated	ECSA	11669
KX619422	ncbi-curated	ECSA	11408
KX619423	ncbi-curated	ECSA	11449
KX619424	ncbi-curated	ECSA	11714
KX619425	ncbi-curated	ECSA	11569
KX619426	ncbi-curated	ECSA	11708
KX881784	ncbi-curated	ECSA	11698
KY038946	ncbi-curated	ECSA	11805
KY038947	ncbi-curated	ECSA	11786
KY055011	ncbi-curated	ECSA	11813
KY057363	ncbi-curated	ECSA	11834
KY124328	ncbi-curated	ECSA	11523
KY124329	ncbi-curated	ECSA	11318
KY272961	ncbi-curated	Asian	11520
KY272962	ncbi-curated	Asian	11520
KY272963	ncbi-curated	Asian	11520
KY272964	ncbi-curated	Asian	11520
KY272965	ncbi-curated	Asian	11520
KY272966	ncbi-curated	Asian	11520
KY272967	ncbi-curated	Asian	11520
KY272968	ncbi-curated	Asian	11520
KY272969	ncbi-curated	Asian	11520
KY272970	ncbi-curated	Asian	11520
KY435454	ncbi-curated	Asian	11225
KY435455	ncbi-curated	Asian	11225
KY435456	ncbi-curated	Asian	11225
KY435457	ncbi-curated	Asian	11225
KY435458	ncbi-curated	Asian	11225
KY435459	ncbi-curated	Asian	11225
KY435460	ncbi-curated	Asian	11225
KY435461	ncbi-curated	Asian	11225
KY435462	ncbi-curated	Asian	11225
KY435463	ncbi-curated	Asian	11225
KY435464	ncbi-curated	Asian	11225
KY435465	ncbi-curated	Asian	11225
KY435466	ncbi-curated	Asian	11225
KY435467	ncbi-curated	Asian	11225
KY435468	ncbi-curated	Asian	11225
KY435469	ncbi-curated	Asian	11225
KY435470	ncbi-curated	Asian	11225
KY435471	ncbi-curated	Asian	11225
KY435472	ncbi-curated	Asian	11225
KY435473	ncbi-curated	Asian	11225
KY435474	ncbi-curated	Asian	11225
KY435475	ncbi-curated	Asian	11225
KY435476	ncbi-curated	Asian	11225
KY435477	ncbi-curated	Asian	11225
KY435478	ncbi-curated	Asian	11225
KY435479	ncbi-curated	Asian	11225
KY435480	ncbi-curated	Asian	11225
KY435481	ncbi-curated	Asian	11225
KY435482	ncbi-curated	Asian	11225
KY435483	ncbi-curated	Asian	11225
KY435484	ncbi-curated	Asian	11225
KY435485	ncbi-curated	Asian	11225
KY435486	ncbi-curated	Asian	11225
KY575565	ncbi-curated	Asian	11643
KY575566	ncbi-curated	Asian	11456
KY575567	ncbi-curated	ECSA	11758
KY575568	ncbi-curated	ECSA	11758
KY575569	ncbi-curated	Asian	11696
KY575570	ncbi-curated	ECSA	11758
KY575571	ncbi-curated	ECSA	11714
KY575572	ncbi-curated	Asian	11435
KY575573	ncbi-curated	Asian	11636
KY575574	ncbi-curated	ECSA	11756
KY680347	ncbi-curated	Asian	11959
KY680349	ncbi-curated	Asian	11307
KY680350	ncbi-curated	Asian	11603
KY680351	ncbi-curated	Asian	11974
KY680352	ncbi-curated	Asian	11571
KY680353	ncbi-curated	Asian	11305
KY680354	ncbi-curated	Asian	11435
KY680355	ncbi-curated	Asian	11517
KY680357	ncbi-curated	Asian	11307
KY680360	ncbi-curated	Asian	11307
KY680361	ncbi-curated	Asian	11571
KY680363	ncbi-curated	Asian	11952
KY680364	ncbi-curated	Asian	11307
KY680365	ncbi-curated	Asian	11291
KY680366	ncbi-curated	Asian	11775
KY680368	ncbi-curated	Asian	11959
KY680370	ncbi-curated	Asian	11952
KY680371	ncbi-curated	Asian	11959
KY680373	ncbi-curated	Asian	11574
KY680374	ncbi-curated	Asian	11952
KY680375	ncbi-curated	Asian	11570
KY680376	ncbi-curated	Asian	11307
KY680377	ncbi-curated	Asian	11307
KY680378	ncbi-curated	Asian	11571
KY680379	ncbi-curated	Asian	11307
KY680380	ncbi-curated	Asian	11307
KY680381	ncbi-curated	Asian	11571
KY680384	ncbi-curated	Asian	11526
KY680385	ncbi-curated	Asian	11307
KY680386	ncbi-curated	Asian	11704
KY680387	ncbi-curated	Asian	11959
KY680388	ncbi-curated	Asian	11550
KY680389	ncbi-curated	Asian	11959
KY680390	ncbi-curated	Asian	11567
KY680391	ncbi-curated	Asian	11617
KY680392	ncbi-curated	Asian	11295
KY680394	ncbi-curated	Asian	11633
KY680395	ncbi-curated	Asian	11697
KY680396	ncbi-curated	Asian	11571
KY680398	ncbi-curated	Asian	11571
KY680399	ncbi-curated	Asian	11764
KY680400	ncbi-curated	Asian	11775
KY680401	ncbi-curated	Asian	11775
KY680406	ncbi-curated	Asian	11952
KY680407	ncbi-curated	Asian	11502
KY680408	ncbi-curated	Asian	11716
KY680409	ncbi-curated	Asian	11307
KY680410	ncbi-curated	Asian	11307
KY680412	ncbi-curated	Asian	11747
KY680413	ncbi-curated	Asian	11959
KY680414	ncbi-curated	Asian	11307
KY703888	ncbi-curated	Asian	11456
KY703889	ncbi-curated	Asian	11307
KY703890	ncbi-curated	Asian	11307
KY703891	ncbi-curated	Asian	11307
KY703892	ncbi-curated	Asian	11591
KY703893	ncbi-curated	Asian	11997
KY703894	ncbi-curated	Asian	11307
KY703896	ncbi-curated	Asian	11795
KY703897	ncbi-curated	Asian	11571
KY703898	ncbi-curated	Asian	11307
KY703899	ncbi-curated	Asian	11775
KY703900	ncbi-curated	Asian	11307
KY703901	ncbi-curated	Asian	11952
KY703902	ncbi-curated	Asian	11332
KY703903	ncbi-curated	Asian	11307
KY703904	ncbi-curated	Asian	11307
KY703905	ncbi-curated	Asian	11954
KY703906	ncbi-curated	Asian	11307
KY703907	ncbi-curated	Asian	11307
KY703909	ncbi-curated	Asian	11775
KY703910	ncbi-curated	Asian	11959
KY703911	ncbi-curated	Asian	11571
KY703912	ncbi-curated	Asian	11303
KY703913	ncbi-curated	Asian	11775
KY703914	ncbi-curated	Asian	11959
KY703915	ncbi-curated	Asian	11307
KY703916	ncbi-curated	Asian	11580
KY703917	ncbi-curated	Asian	11307
KY703918	ncbi-curated	Asian	11307
KY703919	ncbi-curated	Asian	11307
KY703920	ncbi-curated	Asian	11397
KY703921	ncbi-curated	Asian	11307
KY703922	ncbi-curated	Asian	11277
KY703923	ncbi-curated	Asian	11307
KY703924	ncbi-curated	Asian	11775
KY703925	ncbi-curated	Asian	11681
KY703926	ncbi-curated	Asian	11960
KY703928	ncbi-curated	Asian	11307
KY703929	ncbi-curated	Asian	11308
KY703930	ncbi-curated	Asian	11984
KY703931	ncbi-curated	Asian	11698
KY703932	ncbi-curated	Asian	11591
KY703933	ncbi-curated	Asian	11307
KY703934	ncbi-curated	Asian	11307
KY703935	ncbi-curated	Asian	11827
KY703936	ncbi-curated	Asian	11295
KY703937	ncbi-curated	Asian	11959
KY703938	ncbi-curated	Asian	11959
KY703939	ncbi-curated	Asian	11307
KY703940	ncbi-curated	Asian	11952
KY703941	ncbi-curated	Asian	10959
KY703942	ncbi-curated	Asian	11952
KY703943	ncbi-curated	Asian	11307
KY703944	ncbi-curated	Asian	11307
KY703945	ncbi-curated	Asian	11952
KY703947	ncbi-curated	Asian	11307
KY703948	ncbi-curated	Asian	11307
KY703949	ncbi-curated	Asian	11959
KY703950	ncbi-curated	Asian	11952
KY703951	ncbi-curated	Asian	11611
KY703953	ncbi-curated	Asian	11307
KY703954	ncbi-curated	Asian	11307
KY703956	ncbi-curated	Asian	11634
KY703957	ncbi-curated	Asian	11999
KY703958	ncbi-curated	Asian	11775
KY703959	ncbi-curated	Asian	11306
KY703961	ncbi-curated	Asian	11571
KY703962	ncbi-curated	Asian	11959
KY703963	ncbi-curated	Asian	11328
KY703964	ncbi-curated	Asian	11307
KY703965	ncbi-curated	Asian	11306
KY703966	ncbi-curated	Asian	11791
KY703968	ncbi-curated	Asian	11445
KY703971	ncbi-curated	Asian	11456
KY703972	ncbi-curated	Asian	11867
KY703973	ncbi-curated	Asian	11307
KY703974	ncbi-curated	Asian	11775
KY703975	ncbi-curated	Asian	11307
KY703976	ncbi-curated	Asian	11633
KY703977	ncbi-curated	Asian	11663
KY703979	ncbi-curated	Asian	11307
KY703980	ncbi-curated	Asian	11300
KY703981	ncbi-curated	Asian	11307
KY703982	ncbi-curated	Asian	11709
KY703983	ncbi-curated	Asian	11710
KY703984	ncbi-curated	Asian	11775
KY703987	ncbi-curated	Asian	11952
KY703988	ncbi-curated	Asian	11307
KY703989	ncbi-curated	Asian	11740
KY703991	ncbi-curated	Asian	11775
KY703992	ncbi-curated	Asian	11783
KY703995	ncbi-curated	Asian	11660
KY703996	ncbi-curated	Asian	11571
KY703997	ncbi-curated	Asian	11952
KY703998	ncbi-curated	Asian	11694
KY703999	ncbi-curated	Asian	11952
KY704001	ncbi-curated	Asian	11617
KY704002	ncbi-curated	Asian	11307
KY704933	ncbi-curated	ECSA	10486
KY704934	ncbi-curated	ECSA	11050
KY704935	ncbi-curated	ECSA	11093
KY704936	ncbi-curated	ECSA	11630
KY704937	ncbi-curated	ECSA	11214
KY704938	ncbi-curated	ECSA	10945
KY704939	ncbi-curated	ECSA	11211
KY704940	ncbi-curated	ECSA	11310
KY704941	ncbi-curated	ECSA	10848
KY704942	ncbi-curated	ECSA	11297
KY704943	ncbi-curated	ECSA	11116
KY704944	ncbi-curated	ECSA	11078
KY704945	ncbi-curated	ECSA	11118
KY704946	ncbi-curated	ECSA	11121
KY704947	ncbi-curated	ECSA	11273
KY704948	ncbi-curated	ECSA	11212
KY704949	ncbi-curated	ECSA	11114
KY704950	ncbi-curated	ECSA	11112
KY704951	ncbi-curated	ECSA	11054
KY704952	ncbi-curated	ECSA	11246
KY704953	ncbi-curated	ECSA	11109
KY704954	ncbi-curated	ECSA	11804
KY704955	ncbi-curated	ECSA	11804
KY751908	ncbi-curated	ECSA	11796
KY883764	ncbi-curated	Asian	11774
LC259083	ncbi-curated	Asian	11998
LC259084	ncbi-curated	Asian	11991
LC259085	ncbi-curated	Asian	11980
LC259087	ncbi-curated	Asian	11980
LC259091	ncbi-curated	Asian	11980
LC259093	ncbi-curated	ECSA	11832
LC259094	ncbi-curated	ECSA	11825
LC331252	ncbi-curated	ECSA	11771
LC580236	ncbi-curated	ECSA	11237
LC580237	ncbi-curated	ECSA	11237
LC580238	ncbi-curated	ECSA	11233
LC580239	ncbi-curated	ECSA	11237
LC580240	ncbi-curated	ECSA	11237
LC580241	ncbi-curated	ECSA	11237
LC580242	ncbi-curated	ECSA	11237
LC580243	ncbi-curated	ECSA	11237
LC580244	ncbi-curated	ECSA	11237
LC580245	ncbi-curated	ECSA	11237
LC580246	ncbi-curated	ECSA	11237
LC580247	ncbi-curated	ECSA	11237
LC580248	ncbi-curated	ECSA	11237
LC580249	ncbi-curated	ECSA	11237
LC580250	ncbi-curated	ECSA	11237
LC580251	ncbi-curated	ECSA	11237
LC580252	ncbi-curated	ECSA	11237
LC580253	ncbi-curated	ECSA	11237
LC580254	ncbi-curated	ECSA	11237
LC580255	ncbi-curated	ECSA	11237
LC580256	ncbi-curated	ECSA	11237
LC580257	ncbi-curated	ECSA	11237
LC580258	ncbi-curated	ECSA	11237
LC580259	ncbi-curated	ECSA	11237
LC580260	ncbi-curated	ECSA	11237
LC580261	ncbi-curated	ECSA	11237
LC580262	ncbi-curated	ECSA	11237
LC580263	ncbi-curated	ECSA	11237
LC580264	ncbi-curated	ECSA	11237
LC580265	ncbi-curated	ECSA	11237
LC580266	ncbi-curated	ECSA	11237
LC580267	ncbi-curated	ECSA	11237
LC580268	ncbi-curated	ECSA	11237
LC580269	ncbi-curated	ECSA	11237
LC580270	ncbi-curated	ECSA	11237
LC664141	ncbi-curated	ECSA	11237
LC664142	ncbi-curated	ECSA	11237
LC664143	ncbi-curated	ECSA	11237
LC664144	ncbi-curated	ECSA	11237
LC664145	ncbi-curated	ECSA	11237
LC664146	ncbi-curated	ECSA	11237
LC664147	ncbi-curated	ECSA	11237
LC664148	ncbi-curated	ECSA	11237
LC664149	ncbi-curated	ECSA	11237
LC664150	ncbi-curated	ECSA	11237
LC664151	ncbi-curated	ECSA	11237
LC664152	ncbi-curated	ECSA	11237
LC664153	ncbi-curated	ECSA	11237
LC664154	ncbi-curated	ECSA	11237
LC664155	ncbi-curated	ECSA	11237
LC664156	ncbi-curated	ECSA	11237
LC664157	ncbi-curated	ECSA	11237
LC664158	ncbi-curated	ECSA	11237
LC664159	ncbi-curated	ECSA	11237
LC664160	ncbi-curated	ECSA	11237
LC664161	ncbi-curated	ECSA	11237
LC664162	ncbi-curated	ECSA	11237
LC664163	ncbi-curated	ECSA	11237
LC664164	ncbi-curated	ECSA	11237
LC664165	ncbi-curated	ECSA	11237
LC664166	ncbi-curated	ECSA	11237
LP837225	ncbi-curated	ECSA	11840
LP837230	ncbi-curated	ECSA	11674
LP837639	ncbi-curated	ECSA	11840
LP837644	ncbi-curated	ECSA	11674
LP981862	ncbi-curated	ECSA	11840
LP981867	ncbi-curated	ECSA	11674
LY683325	ncbi-curated	ECSA	11826
LY978949	ncbi-curated	ECSA	11674
MF001507	ncbi-curated	Asian	11987
MF001508	ncbi-curated	Asian	11969
MF001510	ncbi-curated	Asian	11993
MF001512	ncbi-curated	Asian	11894
MF001513	ncbi-curated	Asian	11983
MF076568	ncbi-curated	ECSA	11237
MF076569	ncbi-curated	ECSA	11237
MF076570	ncbi-curated	ECSA	11237
MF076571	ncbi-curated	ECSA	11237
MF076572	ncbi-curated	ECSA	11237
MF076573	ncbi-curated	ECSA	11237
MF076574	ncbi-curated	ECSA	11237
MF076575	ncbi-curated	ECSA	11237
MF076576	ncbi-curated	ECSA	11237
MF076577	ncbi-curated	ECSA	11237
MF499120	ncbi-curated	ECSA	11733
MF503628	ncbi-curated	ECSA	11656
MF580946	ncbi-curated	ECSA	11774
MF740874	ncbi-curated	ECSA	11237
MF773566	ncbi-curated	ECSA	11812
MF773567	ncbi-curated	ECSA	11811
MF773568	ncbi-curated	ECSA	11811
MF773569	ncbi-curated	ECSA	11811
MF774613	ncbi-curated	ECSA	11782
MF774614	ncbi-curated	ECSA	11729
MF774615	ncbi-curated	ECSA	11792
MF774616	ncbi-curated	ECSA	11792
MF774617	ncbi-curated	ECSA	11793
MF774618	ncbi-curated	ECSA	11791
MF774619	ncbi-curated	ECSA	11790
MG000875	ncbi-curated	ECSA	11806
MG000876	ncbi-curated	ECSA	11833
MG049915	ncbi-curated	ECSA	11604
MG137428	ncbi-curated	ECSA	11780
MG280943	ncbi-curated	ECSA	11896
MG649970	ncbi-curated	ECSA	11700
MG649971	ncbi-curated	ECSA	11711
MG649972	ncbi-curated	ECSA	11718
MG649973	ncbi-curated	ECSA	11719
MG649974	ncbi-curated	ECSA	11720
MG649975	ncbi-curated	ECSA	11721
MG649976	ncbi-curated	ECSA	11722
MG649977	ncbi-curated	ECSA	11727
MG649978	ncbi-curated	ECSA	11729
MG649979	ncbi-curated	ECSA	11738
MG649980	ncbi-curated	ECSA	11744
MG649981	ncbi-curated	ECSA	11747
MG649982	ncbi-curated	ECSA	11751
MG649983	ncbi-curated	ECSA	11751
MG649984	ncbi-curated	ECSA	11238
MG649985	ncbi-curated	ECSA	11238
MG664850	ncbi-curated	ECSA	11844
MG664851	ncbi-curated	Asian	12000
MG912993	ncbi-curated	ECSA	11765
MG925665	ncbi-curated	ECSA	11733
MH000700	ncbi-curated	ECSA	11339
MH000701	ncbi-curated	ECSA	11361
MH000702	ncbi-curated	ECSA	11455
MH000703	ncbi-curated	ECSA	11362
MH000704	ncbi-curated	ECSA	11362
MH000705	ncbi-curated	ECSA	11362
MH000706	ncbi-curated	ECSA	11301
MH124570	ncbi-curated	ECSA	11764
MH124571	ncbi-curated	ECSA	11764
MH124572	ncbi-curated	ECSA	11764
MH124573	ncbi-curated	ECSA	11750
MH124574	ncbi-curated	ECSA	11755
MH124575	ncbi-curated	ECSA	11763
MH124576	ncbi-curated	ECSA	11746
MH124577	ncbi-curated	ECSA	11764
MH124578	ncbi-curated	ECSA	11758
MH124579	ncbi-curated	ECSA	11752
