taxon	sequenceID	genotype	isolate	country	collection_year
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879570	KC879570	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879571	KC879571	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879572	KC879572	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated/KF872195	KF872195	Asian	LEIV-CHIKV/Moscow/1/2013	Russia	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated/KM673291	KM673291	Asian	-	Indonesia: Bali	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated/KM923917	KM923917	Asian	M125	Malaysia	2007
alignment/AL_CHIKV_Asian/member/ncbi-curated/KM923918	KM923918	Asian	M127	Malaysia	2007
alignment/AL_CHIKV_Asian/member/ncbi-curated/KM923919	KM923919	Asian	M128	Malaysia	2007
alignment/AL_CHIKV_Asian/member/ncbi-curated/KM923920	KM923920	Asian	M129	Malaysia	2007
alignment/AL_CHIKV_Asian/member/ncbi-curated/KP164567	KP164567	Asian	-	Brazil: Oiapoque-AP	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KP851709	KP851709	Asian	-	Mexico: Chiapas	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KP851710	KP851710	Asian	-	Mexico: Jalisco	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KR264950	KR264950	Asian	-	Puerto Rico	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KT192707	KT192707	Asian	11540	Nicaragua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KT308159	KT308159	Asian	-	Philippines	2012
alignment/AL_CHIKV_Asian/member/ncbi-curated/KT308160	KT308160	Asian	-	Philippines	2012
alignment/AL_CHIKV_Asian/member/ncbi-curated/KT308161	KT308161	Asian	-	Philippines	2012
alignment/AL_CHIKV_Asian/member/ncbi-curated/KT308162	KT308162	Asian	-	Philippines	2012
alignment/AL_CHIKV_Asian/member/ncbi-curated/KT308163	KT308163	Asian	-	Philippines	2012
alignment/AL_CHIKV_Asian/member/ncbi-curated/KT327164	KT327164	Asian	-	Mexico	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KT581023	KT581023	Asian	-	Brazil	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU295117	KU295117	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU295118	KU295118	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU295119	KU295119	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU295120	KU295120	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU295121	KU295121	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU295122	KU295122	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU295123	KU295123	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU295124	KU295124	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU295125	KU295125	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU295126	KU295126	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU295127	KU295127	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU295128	KU295128	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU295129	KU295129	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU295130	KU295130	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KU355832	KU355832	Asian	-	Brazil	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KU365366	KU365366	Asian	-	Mexico: Chiapas, Ciudad Hidalgo	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KU365368	KU365368	Asian	-	Mexico: Chiapas, Tapachula	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KU365369	KU365369	Asian	-	Trinidad and Tobago	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KU365373	KU365373	Asian	-	Colombia: Sincelejo	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561436	KU561436	Asian	0904bTw	Indonesia	2009
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561437	KU561437	Asian	0908aTw	Indonesia	2009
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561438	KU561438	Asian	0909aTw	Indonesia	2009
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561439	KU561439	Asian	1002bTw	Indonesia	2010
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561440	KU561440	Asian	1005aTw	Indonesia	2010
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561441	KU561441	Asian	1005bTw	Indonesia	2010
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561442	KU561442	Asian	1006bTw	Indonesia	2010
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561443	KU561443	Asian	1011aTw	Indonesia	2010
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561444	KU561444	Asian	1207aTw	Indonesia	2012
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561445	KU561445	Asian	1301aTw	Indonesia	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561446	KU561446	Asian	1302aTw	Indonesia	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561447	KU561447	Asian	1303aTw	Indonesia	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561448	KU561448	Asian	1304aTw	Indonesia	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561449	KU561449	Asian	1307aTw	Indonesia	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561450	KU561450	Asian	1308bTw	Indonesia	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561451	KU561451	Asian	1308cTw	Indonesia	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561452	KU561452	Asian	1310aTw	Indonesia	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561453	KU561453	Asian	1312cTw	Indonesia	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561454	KU561454	Asian	1403aTw	Indonesia	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561455	KU561455	Asian	1403bTw	Indonesia	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561456	KU561456	Asian	1404aTw	Indonesia	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561457	KU561457	Asian	1406aTw	Indonesia	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561458	KU561458	Asian	1408aTw	Indonesia	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561459	KU561459	Asian	1108aTw	Philippines	2011
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561460	KU561460	Asian	1307bTw	Philippines	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561461	KU561461	Asian	1308aTw	Philippines	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561462	KU561462	Asian	1309aTw	Philippines	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561463	KU561463	Asian	1312aTw	Philippines	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561464	KU561464	Asian	1312bTw	Philippines	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561465	KU561465	Asian	1401aTw	Philippines	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561466	KU561466	Asian	1307cTw	Singapore	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated/KX097982	KX097982	Asian	-	Indonesia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KX097986	KX097986	Asian	-	Indonesia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KX097988	KX097988	Asian	-	Indonesia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KX168429	KX168429	Asian	-	Malaysia: Selangor	2009
alignment/AL_CHIKV_Asian/member/ncbi-curated/KX262987	KX262987	Asian	CHIKV/Homo sapiens/THA/SVO-451-96/1996	Thailand: Northeast Thailand	1996
alignment/AL_CHIKV_Asian/member/ncbi-curated/KX262988	KX262988	Asian	CHIKV/Homo sapiens/THA/6307-88/1988	Thailand: Northeast Thailand	1988
alignment/AL_CHIKV_Asian/member/ncbi-curated/KX262991	KX262991	Asian	CHIKV/Homo sapiens/SXM/H-20235-STMARTIN-2013/2003	Saint Martin	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated/KX262992	KX262992	Asian	CHIKV/Homo sapiens/GLP/YO-111213/2014	Guadeloupe	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KX262994	KX262994	Asian	CHIKV/Homo sapiens/GUF/YO-123223/2014	French Guiana	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY272961	KY272961	Asian	-	Dominican Republic	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY272962	KY272962	Asian	-	Dominican Republic	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY272963	KY272963	Asian	-	Dominican Republic	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY272964	KY272964	Asian	-	Dominican Republic	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY272965	KY272965	Asian	-	Dominican Republic	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY272966	KY272966	Asian	-	Dominican Republic	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY272967	KY272967	Asian	-	Dominican Republic	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY272968	KY272968	Asian	-	Dominican Republic	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY272969	KY272969	Asian	-	Dominican Republic	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY272970	KY272970	Asian	-	Dominican Republic	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435454	KY435454	Asian	-	Trinidad and Tobago	2011
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435455	KY435455	Asian	-	Anguilla	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435456	KY435456	Asian	-	Suriname	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435457	KY435457	Asian	-	Montserrat	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435458	KY435458	Asian	-	Guyana	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435459	KY435459	Asian	-	Cayman Islands	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435460	KY435460	Asian	-	Cayman Islands	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435461	KY435461	Asian	-	Jamaica	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435462	KY435462	Asian	-	Jamaica	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435463	KY435463	Asian	-	Suriname	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435464	KY435464	Asian	-	Barbados	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435465	KY435465	Asian	-	Trinidad and Tobago	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435466	KY435466	Asian	-	Barbados	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435467	KY435467	Asian	-	Montserrat	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435468	KY435468	Asian	-	Jamaica	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435469	KY435469	Asian	-	Grenada	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435470	KY435470	Asian	-	Bahamas	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435471	KY435471	Asian	-	Turks and Caicos Islands	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435472	KY435472	Asian	-	Grenada	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435473	KY435473	Asian	-	Saint Lucia	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435474	KY435474	Asian	-	Saint Lucia	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435475	KY435475	Asian	-	Saint Vincent and the Grenadines	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435476	KY435476	Asian	-	Turks and Caicos Islands	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435477	KY435477	Asian	-	Guyana	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435478	KY435478	Asian	-	Guyana	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435479	KY435479	Asian	-	Antigua and Barbuda	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435480	KY435480	Asian	-	Haiti	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435481	KY435481	Asian	-	Saint Lucia	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435482	KY435482	Asian	-	Saint Kitts and Nevis	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435483	KY435483	Asian	-	Anguilla	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435484	KY435484	Asian	-	Dominica	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435485	KY435485	Asian	-	Dominica	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY435486	KY435486	Asian	-	British Virgin Islands	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY575565	KY575565	Asian	CHIKV/Homo sapiens/USA/IDR1400024561/2014	USA	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY575566	KY575566	Asian	CHIKV/Homo sapiens/USA/IDR1400019200/2014	USA	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY575569	KY575569	Asian	CHIKV/Homo sapiens/USA/IDR1400021488/2014	USA	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY575572	KY575572	Asian	CHIKV/Homo sapiens/USA/IDR1400023906/2014	USA	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY575573	KY575573	Asian	CHIKV/Homo sapiens/USA/IDR1400021177/2014	USA	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680347	KY680347	Asian	CHIKV/Homo sapiens/USA/CKVHL_47/2014	USA: Broward County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680349	KY680349	Asian	CHIKV/Homo sapiens/USA/CKVHL_97/2014	USA: Orange County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680350	KY680350	Asian	CHIKV/Homo sapiens/USA/CKVHL_61/2014	USA: Osceola County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680351	KY680351	Asian	CHIKV/Homo sapiens/USA/CKVHL_26/2014	USA: Hillsborough County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680352	KY680352	Asian	CHIKV/Homo sapiens/USA/CKVHL_126/2014	USA: Broward County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680353	KY680353	Asian	CHIKV/Homo sapiens/USA/CKVHL_90/2014	USA: Seminole County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680354	KY680354	Asian	CHIKV/Homo sapiens/USA/CKVHL_32/2014	USA: Hillsborough County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680355	KY680355	Asian	CHIKV/Homo sapiens/USA/CKVHL_125/2014	USA: Palm Beach County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680357	KY680357	Asian	CHIKV/Homo sapiens/USA/CKVHL_51/2014	USA: Orange County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680360	KY680360	Asian	CHIKV/Homo sapiens/USA/CKVHL_114/2014	USA: Broward County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680361	KY680361	Asian	CHIKV/Homo sapiens/USA/CKVHL_136/2014	USA: Broward County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680363	KY680363	Asian	CHIKV/Homo sapiens/USA/CKVHL_111/2014	USA: Dade County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680364	KY680364	Asian	CHIKV/Homo sapiens/USA/CKVHL_139/2014	USA: Dade County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680365	KY680365	Asian	CHIKV/Homo sapiens/USA/CKVHL_66/2014	USA: Seminole County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680366	KY680366	Asian	CHIKV/Homo sapiens/USA/CKVHL_10/2015	USA: Palm Beach County	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680368	KY680368	Asian	CHIKV/Homo sapiens/USA/CKVHL_115/2014	USA: Palm Beach County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680370	KY680370	Asian	CHIKV/Homo sapiens/USA/CKVHL_57/2014	USA: Orange County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680371	KY680371	Asian	CHIKV/Homo sapiens/USA/CKVHL_95/2014	USA: Palm Beach County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680373	KY680373	Asian	CHIKV/Homo sapiens/USA/CKVHL_113/2014	USA: Duval County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680374	KY680374	Asian	CHIKV/Homo sapiens/USA/CKVHL_89/2014	USA: Osceola County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680375	KY680375	Asian	CHIKV/Homo sapiens/USA/CKVHL_24/2014	USA: Osceola County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680376	KY680376	Asian	CHIKV/Homo sapiens/USA/CKVHL_85/2014	USA: Polk County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680377	KY680377	Asian	CHIKV/Homo sapiens/USA/CKVHL_28/2014	USA: Polk County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680378	KY680378	Asian	CHIKV/Homo sapiens/USA/CKVHL_103/2014	USA: Collier County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680379	KY680379	Asian	CHIKV/Homo sapiens/USA/CKVHL_53/2014	USA: Hillsborough County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680380	KY680380	Asian	CHIKV/Homo sapiens/USA/CKVHL_104/2014	USA	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680381	KY680381	Asian	CHIKV/Homo sapiens/USA/CKVHL_79/2014	USA: Osceola County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680384	KY680384	Asian	CHIKV/Homo sapiens/USA/CKVHL_03/2014	USA: Orange County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680385	KY680385	Asian	CHIKV/Homo sapiens/USA/CKVHL_70/2014	USA: Polk County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680386	KY680386	Asian	CHIKV/Homo sapiens/USA/CKVHL_16/2014	USA: Broward County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680387	KY680387	Asian	CHIKV/Homo sapiens/USA/CKVHL_18/2014	USA: Osceola County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680388	KY680388	Asian	CHIKV/Homo sapiens/USA/CKVHL_76/2014	USA: Polk County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680389	KY680389	Asian	CHIKV/Homo sapiens/USA/CKVHL_59/2015	USA: Osceola County	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680390	KY680390	Asian	CHIKV/Homo sapiens/USA/CKVHL_23/2014	USA: Hillsborough County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680391	KY680391	Asian	CHIKV/Homo sapiens/USA/CKVHL_72/2014	USA: Orange County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680392	KY680392	Asian	CHIKV/Homo sapiens/USA/CKVHL_09/2014	USA: Osceola County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680394	KY680394	Asian	CHIKV/Homo sapiens/USA/CKVHL_99/2014	USA: Osceola County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680395	KY680395	Asian	CHIKV/Homo sapiens/USA/CKVHL_08/2014	USA: Dade County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680396	KY680396	Asian	CHIKV/Homo sapiens/USA/CKVHL_35/2014	USA: Osceola County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680398	KY680398	Asian	CHIKV/Homo sapiens/USA/CKVHL_119/2014	USA: Palm Beach County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680399	KY680399	Asian	CHIKV/Homo sapiens/USA/CKVHL_120/2014	USA: Duval County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680400	KY680400	Asian	CHIKV/Homo sapiens/USA/CKVHL_27/2014	USA: Pasco County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680401	KY680401	Asian	CHIKV/Homo sapiens/USA/CKVHL_101/2014	USA	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680406	KY680406	Asian	CHIKV/Homo sapiens/USA/CKVHL_05/2014	USA: Polk County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680407	KY680407	Asian	CHIKV/Homo sapiens/USA/CKVHL_116/2014	USA: Duval County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680408	KY680408	Asian	CHIKV/Homo sapiens/USA/CKVHL_34/2014	USA: Dade County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680409	KY680409	Asian	CHIKV/Homo sapiens/USA/CKVHL_124/2014	USA: Duval County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680410	KY680410	Asian	CHIKV/Homo sapiens/USA/CKVHL_20/2014	USA: Osceola County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680412	KY680412	Asian	CHIKV/Homo sapiens/USA/CKVHL_88/2014	USA: Dade County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680413	KY680413	Asian	CHIKV/Homo sapiens/USA/CKVHL_128/2014	USA: Duval County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY680414	KY680414	Asian	CHIKV/Homo sapiens/USA/CKVHL_21/2014	USA: Seminole County	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703888	KY703888	Asian	CHIKV/Homo sapiens/NIC/1885.1D/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703889	KY703889	Asian	CHIKV/Homo sapiens/NIC/1863.1C/2015	Nicaragua: Managua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KY703890	KY703890	Asian	CHIKV/Homo sapiens/NIC/11132-15/2015	Nicaragua: Masaya	2015
