taxon	sequenceID	genotype	isolate	country	collection_year
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AF192899	AF192899	Asian	-	-	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AF192900	AF192900	Asian	-	-	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AF192901	AF192901	Asian	-	-	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AF192902	AF192902	Asian	-	-	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AF192908	AF192908	Asian	-	-	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AY424803	AY424803	Asian	Nagpur (India) 653496	India	-
alignment/AL_CHIKV_Asian/member/ncbi-refseqs/EF027140	EF027140	Asian	IND-63-WB1	India	1963
alignment/AL_CHIKV_Asian/member/ncbi-refseqs/EF027141	EF027141	Asian	IND-73-MH5	India	1973
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/EU192143	EU192143	Asian	0706aTw	Indonesia	2007
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/FJ445483	FJ445483	Asian	-	Singapore	2008
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/FJ807886	FJ807886	Asian	0712aTw	Indonesia	2007
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/FJ807887	FJ807887	Asian	0712bTw	Indonesia	2007
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/FJ807888	FJ807888	Asian	0802aTw	Indonesia	2008
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/FJ807889	FJ807889	Asian	0804aTw	Indonesia	2008
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/FJ807890	FJ807890	Asian	0806aTw	Indonesia	2008
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/FJ807891	FJ807891	Asian	0811aTw	Indonesia	2008
alignment/AL_CHIKV_Asian/member/ncbi-refseqs/FJ807897	FJ807897	Asian	0706aTw	Taiwan	2007
alignment/AL_CHIKV_Asian/member/ncbi-refseqs/FN295483	FN295483	Asian	-	Malaysia	2006
alignment/AL_CHIKV_Asian/member/ncbi-curated/FN295484	FN295484	Asian	-	Malaysia:Perak	2006
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/FR846307	FR846307	Asian	-	France	2009
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/GU969242	GU969242	Asian	-	East Timor	2010
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/HE578162	HE578162	Asian	NC/2011-568	New Caledonia	2011
alignment/AL_CHIKV_Asian/member/ncbi-curated/HE806461	HE806461	Asian	NC/2011-568	New Caledonia	2011
alignment/AL_CHIKV_Asian/member/ncbi-curated/HM045787	HM045787	Asian	SV0444-95	Thailand	1995
alignment/AL_CHIKV_Asian/member/ncbi-curated/HM045788	HM045788	Asian	PO731460	India	1973
alignment/AL_CHIKV_Asian/member/ncbi-curated/HM045789	HM045789	Asian	6441-88	Thailand	1988
alignment/AL_CHIKV_Asian/member/ncbi-refseqs/HM045790	HM045790	Asian	PhH15483	Phil	1985
alignment/AL_CHIKV_Asian/member/ncbi-curated/HM045791	HM045791	Asian	JKT23574	Indonesia	1983
alignment/AL_CHIKV_Asian/member/ncbi-curated/HM045796	HM045796	Asian	CO392-95	Thailand	1995
alignment/AL_CHIKV_Asian/member/ncbi-curated/HM045797	HM045797	Asian	RSU1	Indonesia	1985
alignment/AL_CHIKV_Asian/member/ncbi-curated/HM045800	HM045800	Asian	Hu/85/NR/001	Philippines	1985
alignment/AL_CHIKV_Asian/member/ncbi-curated/HM045802	HM045802	Asian	K0146-95	Thailand	-
alignment/AL_CHIKV_Asian/member/ncbi-curated/HM045803	HM045803	Asian	I-634029	India	1963
alignment/AL_CHIKV_Asian/member/ncbi-curated/HM045808	HM045808	Asian	3412-78	Thailand	1978
alignment/AL_CHIKV_Asian/member/ncbi-curated/HM045810	HM045810	Asian	TH35	Thailand	1958
alignment/AL_CHIKV_Asian/member/ncbi-refseqs/HM045813	HM045813	Asian	Gibbs 63-263	India	1963
alignment/AL_CHIKV_Asian/member/ncbi-curated/HM045814	HM045814	Asian	1455-75	Thailand	1975
alignment/AL_CHIKV_Asian/member/ncbi-curated/KC488650	KC488650	Asian	CHIKV-JC2012	China	2012
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879559	KC879559	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879560	KC879560	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879561	KC879561	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879562	KC879562	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879563	KC879563	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879564	KC879564	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879565	KC879565	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879566	KC879566	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879567	KC879567	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879568	KC879568	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879569	KC879569	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879570	KC879570	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879571	KC879571	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879572	KC879572	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879573	KC879573	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879574	KC879574	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879575	KC879575	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879576	KC879576	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879577	KC879577	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879578	KC879578	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC969207	KC969207	Asian	-	India	1976
alignment/AL_CHIKV_Asian/member/ncbi-curated/KF872195	KF872195	Asian	LEIV-CHIKV/Moscow/1/2013	Russia	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KJ939333	KJ939333	Asian	PF14-270514-51impGP	French Polynesia	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KM014692	KM014692	Asian	CHIK/Philippines/CPCC007800Y01	Philippines	2012
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KM014693	KM014693	Asian	CHIK/Philippines/CPCC017800Y01	Philippines	2012
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KM014694	KM014694	Asian	CHIK/Philippines/CPCC065200Y01	Philippines	2012
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KM014695	KM014695	Asian	CHIK/Philippines/CPCC083400Y01	Philippines	2012
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KM014696	KM014696	Asian	CHIK/Philippines/CPCC095700Y01	Philippines	2012
alignment/AL_CHIKV_Asian/member/ncbi-curated/KM673291	KM673291	Asian	-	Indonesia: Bali	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated/KM923917	KM923917	Asian	M125	Malaysia	2007
alignment/AL_CHIKV_Asian/member/ncbi-curated/KM923918	KM923918	Asian	M127	Malaysia	2007
alignment/AL_CHIKV_Asian/member/ncbi-curated/KM923919	KM923919	Asian	M128	Malaysia	2007
alignment/AL_CHIKV_Asian/member/ncbi-curated/KM923920	KM923920	Asian	M129	Malaysia	2007
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KM985619	KM985619	Asian	PF14-290914-16	French Polynesia	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KM985981	KM985981	Asian	TO14-080414-3007	Tonga	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KM985982	KM985982	Asian	TO14-080414-3042	Tonga	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KP164567	KP164567	Asian	-	Brazil: Oiapoque-AP	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KP252141	KP252141	Asian	Italy/ER062014	Italy	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KP252142	KP252142	Asian	Italy/ER072014	Italy	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KP276676	KP276676	Asian	CHIK/Philippines/AFPSV13-0030	Philippines	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KP276677	KP276677	Asian	CHIK/Philippines/AFPSV13-0084	Philippines	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated/KP851709	KP851709	Asian	-	Mexico: Chiapas	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KP851710	KP851710	Asian	-	Mexico: Jalisco	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KR002040	KR002040	Asian	CHIKV 1711900F	Brazil	-
alignment/AL_CHIKV_Asian/member/ncbi-curated/KR264950	KR264950	Asian	-	Puerto Rico	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT175539	KT175539	Asian	E1	Indonesia	2007
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT175540	KT175540	Asian	E1	Indonesia	2007
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT175541	KT175541	Asian	E1	Indonesia	2007
alignment/AL_CHIKV_Asian/member/ncbi-curated/KT192707	KT192707	Asian	11540	Nicaragua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192708	KT192708	Asian	-	Nicaragua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192709	KT192709	Asian	-	Nicaragua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192710	KT192710	Asian	-	Nicaragua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192711	KT192711	Asian	-	Nicaragua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192712	KT192712	Asian	-	Nicaragua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192713	KT192713	Asian	-	Nicaragua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192714	KT192714	Asian	-	Nicaragua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192715	KT192715	Asian	-	Nicaragua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192716	KT192716	Asian	-	Nicaragua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192717	KT192717	Asian	-	Nicaragua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192718	KT192718	Asian	-	Nicaragua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192719	KT192719	Asian	-	Nicaragua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192720	KT192720	Asian	-	Nicaragua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192721	KT192721	Asian	-	Nicaragua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192722	KT192722	Asian	-	Nicaragua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192723	KT192723	Asian	-	Nicaragua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192724	KT192724	Asian	-	Nicaragua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192725	KT192725	Asian	-	Nicaragua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192726	KT192726	Asian	-	Nicaragua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192727	KT192727	Asian	-	Nicaragua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192728	KT192728	Asian	-	Nicaragua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192729	KT192729	Asian	-	Nicaragua	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192730	KT192730	Asian	-	Nicaragua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192731	KT192731	Asian	-	Nicaragua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192732	KT192732	Asian	-	Nicaragua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192733	KT192733	Asian	-	Nicaragua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192734	KT192734	Asian	-	Nicaragua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192735	KT192735	Asian	-	Nicaragua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192736	KT192736	Asian	-	Nicaragua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192737	KT192737	Asian	-	Nicaragua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192738	KT192738	Asian	-	Nicaragua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192739	KT192739	Asian	-	Nicaragua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT192740	KT192740	Asian	-	Nicaragua	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211023	KT211023	Asian	-	Colombia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211024	KT211024	Asian	-	Colombia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211025	KT211025	Asian	-	Colombia	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211026	KT211026	Asian	-	Colombia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211027	KT211027	Asian	-	Colombia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211028	KT211028	Asian	-	Colombia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211029	KT211029	Asian	-	Colombia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211030	KT211030	Asian	-	Colombia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211031	KT211031	Asian	-	Colombia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211032	KT211032	Asian	-	Colombia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211033	KT211033	Asian	-	Colombia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211034	KT211034	Asian	-	Colombia	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211035	KT211035	Asian	-	Colombia	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211036	KT211036	Asian	-	Colombia	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211037	KT211037	Asian	-	Colombia	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211038	KT211038	Asian	-	Colombia	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211039	KT211039	Asian	-	Colombia	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211040	KT211040	Asian	-	Colombia	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211041	KT211041	Asian	-	Colombia	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211042	KT211042	Asian	-	Colombia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211043	KT211043	Asian	-	Colombia	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211044	KT211044	Asian	-	Colombia	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211045	KT211045	Asian	-	Colombia	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211046	KT211046	Asian	-	Colombia	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211047	KT211047	Asian	-	Colombia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211048	KT211048	Asian	-	Colombia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211049	KT211049	Asian	-	Colombia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211050	KT211050	Asian	-	Colombia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KT211051	KT211051	Asian	-	Colombia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KT308159	KT308159	Asian	-	Philippines	2012
alignment/AL_CHIKV_Asian/member/ncbi-curated/KT308160	KT308160	Asian	-	Philippines	2012
alignment/AL_CHIKV_Asian/member/ncbi-curated/KT308161	KT308161	Asian	-	Philippines	2012
alignment/AL_CHIKV_Asian/member/ncbi-curated/KT308162	KT308162	Asian	-	Philippines	2012
alignment/AL_CHIKV_Asian/member/ncbi-curated/KT308163	KT308163	Asian	-	Philippines	2012
alignment/AL_CHIKV_Asian/member/ncbi-curated/KT327164	KT327164	Asian	-	Mexico	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KT581023	KT581023	Asian	-	Brazil	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU295117	KU295117	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU295118	KU295118	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU295119	KU295119	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU295120	KU295120	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU295121	KU295121	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU295122	KU295122	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU295123	KU295123	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU295124	KU295124	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU295125	KU295125	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU295126	KU295126	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU295127	KU295127	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU295128	KU295128	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU295129	KU295129	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU295130	KU295130	Asian	-	Mexico	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KU355832	KU355832	Asian	-	Brazil	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KU365366	KU365366	Asian	-	Mexico: Chiapas, Ciudad Hidalgo	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KU365368	KU365368	Asian	-	Mexico: Chiapas, Tapachula	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KU365369	KU365369	Asian	-	Trinidad and Tobago	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KU365373	KU365373	Asian	-	Colombia: Sincelejo	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561436	KU561436	Asian	0904bTw	Indonesia	2009
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561437	KU561437	Asian	0908aTw	Indonesia	2009
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561438	KU561438	Asian	0909aTw	Indonesia	2009
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561439	KU561439	Asian	1002bTw	Indonesia	2010
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561440	KU561440	Asian	1005aTw	Indonesia	2010
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561441	KU561441	Asian	1005bTw	Indonesia	2010
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561442	KU561442	Asian	1006bTw	Indonesia	2010
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561443	KU561443	Asian	1011aTw	Indonesia	2010
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561444	KU561444	Asian	1207aTw	Indonesia	2012
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561445	KU561445	Asian	1301aTw	Indonesia	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561446	KU561446	Asian	1302aTw	Indonesia	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561447	KU561447	Asian	1303aTw	Indonesia	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561448	KU561448	Asian	1304aTw	Indonesia	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561449	KU561449	Asian	1307aTw	Indonesia	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561450	KU561450	Asian	1308bTw	Indonesia	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561451	KU561451	Asian	1308cTw	Indonesia	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561452	KU561452	Asian	1310aTw	Indonesia	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561453	KU561453	Asian	1312cTw	Indonesia	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561454	KU561454	Asian	1403aTw	Indonesia	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561455	KU561455	Asian	1403bTw	Indonesia	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561456	KU561456	Asian	1404aTw	Indonesia	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561457	KU561457	Asian	1406aTw	Indonesia	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561458	KU561458	Asian	1408aTw	Indonesia	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561459	KU561459	Asian	1108aTw	Philippines	2011
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561460	KU561460	Asian	1307bTw	Philippines	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561461	KU561461	Asian	1308aTw	Philippines	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561462	KU561462	Asian	1309aTw	Philippines	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561463	KU561463	Asian	1312aTw	Philippines	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561464	KU561464	Asian	1312bTw	Philippines	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561465	KU561465	Asian	1401aTw	Philippines	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KU561466	KU561466	Asian	1307cTw	Singapore	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KX097981	KX097981	Asian	-	Indonesia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KX097982	KX097982	Asian	-	Indonesia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KX097983	KX097983	Asian	-	Indonesia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KX097984	KX097984	Asian	-	Indonesia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KX097985	KX097985	Asian	-	Indonesia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KX097986	KX097986	Asian	-	Indonesia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KX097987	KX097987	Asian	-	Indonesia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KX097988	KX097988	Asian	-	Indonesia	2015
alignment/AL_CHIKV_Asian/member/ncbi-curated/KX168429	KX168429	Asian	-	Malaysia: Selangor	2009
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KX255061	KX255061	Asian	-	Haiti	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KX255062	KX255062	Asian	-	Panama	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KX255063	KX255063	Asian	-	Dominican Republic	2014
alignment/AL_CHIKV_Asian/member/ncbi-curated/KX262987	KX262987	Asian	CHIKV/Homo sapiens/THA/SVO-451-96/1996	Thailand: Northeast Thailand	1996
alignment/AL_CHIKV_Asian/member/ncbi-curated/KX262988	KX262988	Asian	CHIKV/Homo sapiens/THA/6307-88/1988	Thailand: Northeast Thailand	1988
alignment/AL_CHIKV_Asian/member/ncbi-curated/KX262991	KX262991	Asian	CHIKV/Homo sapiens/SXM/H-20235-STMARTIN-2013/2003	Saint Martin	2013
