taxon	sequenceID	genotype	isolate	country	collection_year
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943696	JQ943696	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943697	JQ943697	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943698	JQ943698	WestAfr	-	Senegal	2008
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943699	JQ943699	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943700	JQ943700	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943701	JQ943701	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943702	JQ943702	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943703	JQ943703	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943704	JQ943704	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943705	JQ943705	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943706	JQ943706	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943707	JQ943707	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943708	JQ943708	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943709	JQ943709	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943710	JQ943710	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943711	JQ943711	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943712	JQ943712	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943713	JQ943713	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943714	JQ943714	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943715	JQ943715	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943716	JQ943716	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943717	JQ943717	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943718	JQ943718	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943719	JQ943719	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943720	JQ943720	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated/KX262986	KX262986	WestAfr	CHIKV/Aedes furcifer/SEN/37937/1983	Senegal: Kedougou	1983
alignment/AL_CHIKV_WestAfr/member/ncbi-curated/KX262995	KX262995	WestAfr	CHIKV/Aedes furcifer/SEN/37950/1983	Senegal: Kedougou	1983
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/LF654933	LF654933	WestAfr	-	-	-
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/LF654935	LF654935	WestAfr	-	-	-
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/LG175004	LG175004	WestAfr	-	-	-
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/LG175006	LG175006	WestAfr	-	-	-
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/LP809658	LP809658	WestAfr	-	-	-
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/LQ317136	LQ317136	WestAfr	-	-	-
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/LQ317138	LQ317138	WestAfr	-	-	-
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/LQ423144	LQ423144	WestAfr	-	-	-
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/LQ729826	LQ729826	WestAfr	-	-	-
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/LQ868536	LQ868536	WestAfr	-	-	-
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/LQ868549	LQ868549	WestAfr	-	-	-
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/LY575871	LY575871	WestAfr	-	-	-
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/MA132422	MA132422	WestAfr	-	-	-
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/MA407070	MA407070	WestAfr	-	-	-
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/OF338496	OF338496	WestAfr	-	-	-
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/OF338498	OF338498	WestAfr	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/China_MZ494489_2018-09-01	China_MZ494489_2018-09-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/China_OM416163_2020-07-01	China_OM416163_2020-07-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/China_OM799574_2020-07-01	China_OM799574_2020-07-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Cote-d_Ivoire_HM045818_1981-09-01	Cote-d_Ivoire_HM045818_1981-09-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Cote-d_Ivoire_HM045820_1993-12-01	Cote-d_Ivoire_HM045820_1993-12-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Nigeria_HM045786_1964-07-07	Nigeria_HM045786_1964-07-07	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Nigeria_HM045807_1965-04-13	Nigeria_HM045807_1965-04-13	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_HM045785_1966-11-01	Senegal_HM045785_1966-11-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_HM045798_1966-11-01	Senegal_HM045798_1966-11-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_HM045815_1979-02-01	Senegal_HM045815_1979-02-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_HM045816_1966-11-23	Senegal_HM045816_1966-11-23	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_HM045817_2005-11-01	Senegal_HM045817_2005-11-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_HM045819_1993-02-01	Senegal_HM045819_1993-02-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_IRESSEF_CHIK0048_Ndiourmi_2023-08-25	Senegal_IRESSEF_CHIK0048_Ndiourmi_2023-08-25	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_IRESSEF_CHIK0056_Ndiourmi_2023-08-25	Senegal_IRESSEF_CHIK0056_Ndiourmi_2023-08-25	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_IRESSEF_CHIK0092_Ndiormi_2023-08-24	Senegal_IRESSEF_CHIK0092_Ndiormi_2023-08-24	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_IRESSEF_CHIK0120_Ndiourmi_2023-08-25	Senegal_IRESSEF_CHIK0120_Ndiourmi_2023-08-25	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_IRESSEF_CHIK0134_Bandafassi_2023-08-21	Senegal_IRESSEF_CHIK0134_Bandafassi_2023-08-21	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_IRESSEF_CHIK0136_Bandafassi_2023-08-21	Senegal_IRESSEF_CHIK0136_Bandafassi_2023-08-21	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_IRESSEF_CHIK0167_Ndiourmi_2023-08-16	Senegal_IRESSEF_CHIK0167_Ndiourmi_2023-08-16	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_IRESSEF_CHIK0179_Ndiourmi_2023-08-24	Senegal_IRESSEF_CHIK0179_Ndiourmi_2023-08-24	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_IRESSEF_CHIK0191_Ndiourmi_2023-08-24	Senegal_IRESSEF_CHIK0191_Ndiourmi_2023-08-24	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_IRESSEF_CHIK0210_Ndiourmi_2023-08-20	Senegal_IRESSEF_CHIK0210_Ndiourmi_2023-08-20	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_IRESSEF_CHIK0241_Bandafassi_2023-08-23	Senegal_IRESSEF_CHIK0241_Bandafassi_2023-08-23	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_IRESSEF_CHIK0250_Bandafassi_2023-08-21	Senegal_IRESSEF_CHIK0250_Bandafassi_2023-08-21	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_IRESSEF_CHIK0252_Ndiourmi_2023-08-20	Senegal_IRESSEF_CHIK0252_Ndiourmi_2023-08-20	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_IRESSEF_CHIK0286_Ndiourmi_2023-08-13	Senegal_IRESSEF_CHIK0286_Ndiourmi_2023-08-13	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_IRESSEF_CHIK0307_Ndiourmi_2023-08-24	Senegal_IRESSEF_CHIK0307_Ndiourmi_2023-08-24	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_IRESSEF_CHIK0339_Ndiourmi_2023-08-12	Senegal_IRESSEF_CHIK0339_Ndiourmi_2023-08-12	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_IRESSEF_CHIK0345_Ndiourmi_2023-08-18	Senegal_IRESSEF_CHIK0345_Ndiourmi_2023-08-18	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_IRESSEF_CHIK0358_Ndiourmi_2023-08-18	Senegal_IRESSEF_CHIK0358_Ndiourmi_2023-08-18	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_IRESSEF_CHIK0372_Bandafassi_2023-08-24	Senegal_IRESSEF_CHIK0372_Bandafassi_2023-08-24	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_IRESSEF_CHIK0386_Bandafassi_2023-08-21	Senegal_IRESSEF_CHIK0386_Bandafassi_2023-08-21	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_IRESSEF_CHIK0398_Ndiourmi_2023-08-17	Senegal_IRESSEF_CHIK0398_Ndiourmi_2023-08-17	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_IRESSEF_CHIK0443_Bandafassi_2023-08-23	Senegal_IRESSEF_CHIK0443_Bandafassi_2023-08-23	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_IRESSEF_CHIK0470_Bandafassi_2023-08-21	Senegal_IRESSEF_CHIK0470_Bandafassi_2023-08-21	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_IRESSEF_CHIK0499_Ndiourmi_2023-08-23	Senegal_IRESSEF_CHIK0499_Ndiourmi_2023-08-23	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_IRESSEF_CHIK0503_Bandafassi_2023-08-21	Senegal_IRESSEF_CHIK0503_Bandafassi_2023-08-21	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943687_2009-01-01	Senegal_JQ943687_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943688_2009-01-01	Senegal_JQ943688_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943689_2009-01-01	Senegal_JQ943689_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943690_2009-01-01	Senegal_JQ943690_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943691_2009-01-01	Senegal_JQ943691_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943692_2009-01-01	Senegal_JQ943692_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943693_2009-01-01	Senegal_JQ943693_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943694_2009-01-01	Senegal_JQ943694_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943695_2009-01-01	Senegal_JQ943695_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943696_2009-01-01	Senegal_JQ943696_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943697_2009-01-01	Senegal_JQ943697_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943698_2008-01-01	Senegal_JQ943698_2008-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943699_2009-01-01	Senegal_JQ943699_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943700_2009-01-01	Senegal_JQ943700_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943701_2009-01-01	Senegal_JQ943701_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943702_2009-01-01	Senegal_JQ943702_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943703_2009-01-01	Senegal_JQ943703_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943704_2009-01-01	Senegal_JQ943704_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943705_2009-01-01	Senegal_JQ943705_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943706_2009-01-01	Senegal_JQ943706_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943707_2009-01-01	Senegal_JQ943707_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943708_2009-01-01	Senegal_JQ943708_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943709_2009-01-01	Senegal_JQ943709_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943710_2009-01-01	Senegal_JQ943710_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943711_2009-01-01	Senegal_JQ943711_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943712_2009-01-01	Senegal_JQ943712_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943713_2009-01-01	Senegal_JQ943713_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943714_2009-01-01	Senegal_JQ943714_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943715_2009-01-01	Senegal_JQ943715_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943716_2009-01-01	Senegal_JQ943716_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943717_2009-01-01	Senegal_JQ943717_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943718_2009-01-01	Senegal_JQ943718_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943719_2009-01-01	Senegal_JQ943719_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_JQ943720_2009-01-01	Senegal_JQ943720_2009-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_KX262986_1983-01-01	Senegal_KX262986_1983-01-01	-	-	-	-
alignment/AL_CHIKV_WestAfr/member/senegal-fasta/Senegal_KX262995_1983-07-10	Senegal_KX262995_1983-07-10	-	-	-	-
